      age  Medu  Fedu  traveltime  studytime  failures  famrel  freetime  goout  Dalc  Walc  health  absences  G1  G2  G3  school_MS  sex_M  address_U  famsize_LE3  Pstatus_T  Mjob_health  Mjob_other  Mjob_services  Mjob_teacher  Fjob_health  Fjob_other  Fjob_services  Fjob_teacher  reason_home  reason_other  reason_reputation  guardian_mother  guardian_other  schoolsup_yes  famsup_yes  paid_yes  activities_yes  nursery_yes  higher_yes  internet_yes  romantic_yes
0    18.0     4     4           2          2         0       4         3      4     1     1       3         6   5   6   6      False  False       True        False      False        False       False          False         False        False       False          False          True        False         False              False             True           False           True       False     False           False         True        True         False         False
1    17.0     1     1           1          2         0       5         3      3     1     1       3         4   5   5   6      False  False       True        False       True        False       False          False         False        False        True          False         False        False         False              False            False           False          False        True     False           False        False        True          True         False
2    15.0     1     1           1          2         3       4         3      2     2     3       3        10   7   8  10      False  False       True         True       True        False       False          False         False        False        True          False         False        False          True              False             True           False           True       False      True           False         True        True          True         False
3    15.0     4     2           1          3         0       3         2      2     1     1       5         2  15  14  15      False  False       True        False       True         True       False          False         False        False       False           True         False         True         False              False             True           False          False        True      True            True         True        True          True          True
4    16.0     3     3           1          2         0       4         3      2     1     2       5         4   6  10  10      False  False       True        False       True        False        True          False         False        False        True          False         False         True         False              False            False           False          False        True      True           False         True        True         False         False
5    16.0     4     3           1          2         0       5         4      2     1     2       5        10  15  15  15      False   True       True         True       True        False       False           True         False        False        True          False         False        False         False               True             True           False          False        True      True            True         True        True          True         False
6    16.0     2     2           1          2         0       4         4      4     1     1       3         0  12  12  11      False   True       True         True       True        False        True          False         False        False        True          False         False         True         False              False             True           False          False       False     False           False         True        True          True         False
7    17.0     4     4           2          2         0       4         1      4     1     1       1         6   6   5   6      False  False       True        False      False        False        True          False         False        False       False          False          True         True         False              False             True           False           True        True     False           False         True        True         False         False
8    15.0     3     2           1          2         0       4         2      2     1     1       1         0  16  18  19      False   True       True         True      False        False       False           True         False        False        True          False         False         True         False              False             True           False          False        True      True           False         True        True          True         False
9    15.0     3     4           1          2         0       5         5      1     1     1       5         0  14  15  15      False   True       True        False       True        False        True          False         False        False        True          False         False         True         False              False             True           False          False        True      True            True         True        True          True         False
10   15.0     4     4           1          2         0       3         3      3     1     2       2         0  10   8   9      False  False       True        False       True        False       False          False          True         True       False          False         False        False         False               True             True           False          False        True      True           False         True        True          True         False
11   15.0     2     1           3          3         0       5         2      2     1     1       4         4  10  12  12      False  False       True        False       True        False       False           True         False        False        True          False         False        False         False               True            False           False          False        True     False            True         True        True          True         False
12   15.0     4     4           1          1         0       4         3      3     1     3       5         2  14  14  14      False   True       True         True       True         True       False          False         False        False       False           True         False        False         False              False            False           False          False        True      True            True         True        True          True         False
13   15.0     4     3           2          2         0       5         4      3     1     2       3         2  10  10  11      False   True       True        False       True        False       False          False          True        False        True          False         False        False         False              False             True           False          False        True      True           False         True        True          True         False
14   15.0     2     2           1          3         0       4         5      2     1     1       3         0  14  16  16      False   True       True        False      False        False        True          False         False        False        True          False         False         True         False              False            False            True          False        True     False           False         True        True          True          True
15   16.0     4     4           1          1         0       4         4      4     1     2       2         4  14  14  14      False  False       True        False       True         True       False          False         False        False        True          False         False         True         False              False             True           False          False        True     False           False         True        True          True         False
16   16.0     4     4           1          3         0       3         2      3     1     2       2         6  13  14  14      False  False       True        False       True        False       False           True         False        False       False           True         False        False         False               True             True           False          False        True      True            True         True        True          True         False
17   16.0     3     3           3          2         0       5         3      2     1     1       4         4   8  10  10      False  False       True        False       True        False        True          False         False        False        True          False         False        False         False               True             True           False           True        True     False            True         True        True         False         False
18   17.0     3     2           1          1         3       5         5      5     2     4       5        16   6   5   5      False   True       True        False       True        False       False           True         False        False       False           True         False        False         False              False             True           False          False        True     False            True         True        True          True         False
19   16.0     4     3           1          1         0       3         1      3     1     3       5         4   8  10  10      False   True       True         True       True         True       False          False         False        False        True          False         False         True         False              False            False           False          False       False      True            True         True        True          True         False
20   15.0     4     3           1          2         0       4         4      1     1     1       1         0  13  14  15      False   True       True        False       True        False       False          False          True        False        True          False         False        False         False               True             True           False          False       False     False           False         True        True          True         False
21   15.0     4     4           1          1         0       5         4      2     1     1       5         0  12  15  15      False   True       True        False       True         True       False          False         False         True       False          False         False        False          True              False            False           False          False        True      True           False         True        True          True         False
22   16.0     4     2           1          2         0       4         5      1     1     3       5         2  15  15  16      False   True       True         True       True        False       False          False          True        False        True          False         False        False         False              False             True           False          False       False     False            True         True        True          True         False
23   16.0     2     2           2          2         0       5         4      4     2     4       5         0  13  13  12      False   True       True         True       True        False        True          False         False        False        True          False         False        False         False               True             True           False          False        True     False            True         True        True          True         False
24   15.0     2     4           1          3         0       4         3      2     1     1       5         2  10   9   8      False  False      False        False       True        False       False           True         False         True       False          False         False        False         False              False             True           False           True        True      True            True         True        True          True         False
25   16.0     2     2           1          1         2       1         2      2     1     3       5        14   6   9   8      False  False       True        False       True        False       False           True         False        False       False           True         False         True         False              False             True           False          False        True      True           False        False        True          True         False
26   15.0     2     2           1          1         0       4         2      2     1     2       5         2  12  12  11      False   True       True        False       True        False        True          False         False        False        True          False         False         True         False              False             True           False          False        True      True           False         True        True          True         False
